Airline,Date_of_Journey,Source,Destination,Route,Additional_Info,Price,Duration_in_mins,Month_of_Journey,Dep_Time_in_htclass,Day_of_Journey,Totalno_Stops
SpiceJet,21/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,No Info,4649,315,May,afternoon,Tuesday,1
Air India,18/05/2019,Kolkata,Banglore,CCU ? BLR,No Info,6245,150,May,afternoon,Saturday,0
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,19225,375,June,early morning,Monday,1
Jet Airways,03/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14924,715,March,early morning,Wednesday,1
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,9646,665,May,early morning,Tuesday,1
Air India,15/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,8714,510,March,early morning,Friday,1
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12373,1325,May,night,Saturday,1
Air Asia,06/05/2019,Banglore,Delhi,BLR ? DEL,No Info,3383,165,June,late morning,Wednesday,0
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,13062,720,March,late morning,Thursday,1
SpiceJet,24/03/2019,Banglore,New Delhi,BLR ? DEL,No check-in baggage included,3527,170,March,early morning,Sunday,0
IndiGo,27/05/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,170,May,early morning,Monday,0
Air India,03/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,4667,135,March,late morning,Tuesday,0
Air India,15/05/2019,Kolkata,Banglore,CCU ? HYD ? BLR,No Info,6117,965,May,night,Wednesday,1
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,In-flight meal not included,11150,1195,June,night,Thursday,2
Jet Airways,09/03/2019,Delhi,Cochin,DEL ? COK,In-flight meal not included,7202,195,September,late morning,Tuesday,0
Jet Airways,01/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,12121,1520,January,late morning,Saturday,1
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,4377,170,March,night,Sunday,0
IndiGo,18/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,180,June,night,Tuesday,0
Air Asia,03/04/2019,Banglore,Delhi,BLR ? DEL,No Info,4483,170,March,night,Monday,0
Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14231,975,March,night,Sunday,1
Air India,01/03/2019,Banglore,New Delhi,BLR ? BOM ? AMD ? DEL,No Info,17345,905,January,late morning,Thursday,2
Vistara,06/03/2019,Chennai,Kolkata,MAA ? CCU,No Info,7414,135,June,early morning,Monday,0
Multiple carriers,06/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,8073,390,June,night,Wednesday,1
Vistara,06/03/2019,Mumbai,Hyderabad,BOM ? DEL ? HYD,No Info,12395,1505,June,afternoon,Monday,1
Air India,06/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,8366,745,June,late morning,Thursday,1
Air India,03/04/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,5117,1640,March,early morning,Monday,1
Multiple carriers,03/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,12524,615,March,late morning,Wednesday,1
IndiGo,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7191,630,May,afternoon,Wednesday,1
Vistara,24/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,3687,135,May,early morning,Friday,0
IndiGo,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,5894,625,June,late morning,Monday,1
Vistara,24/04/2019,Banglore,Delhi,BLR ? DEL,No Info,5403,170,April,late morning,Wednesday,0
Air India,06/05/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,3625,90,June,noon,Wednesday,0
Air India,21/05/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,No Info,10861,800,May,early morning,Tuesday,2
IndiGo,12/03/2019,Chennai,Kolkata,MAA ? CCU,No Info,6297,135,December,noon,Tuesday,0
Jet Airways,01/06/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,5678,85,January,early morning,Sunday,0
Jet Airways,09/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,9134,1590,September,early morning,Tuesday,1
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10791,440,June,late morning,Monday,1
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,12819,810,June,night,Monday,2
IndiGo,21/03/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,6893,300,March,early morning,Thursday,1
Vistara,09/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,7240,165,September,late morning,Tuesday,0
GoAir,03/04/2019,Banglore,Delhi,BLR ? DEL,No Info,3898,170,March,late morning,Monday,0
IndiGo,03/04/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,4049,90,March,early morning,Monday,0
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,1145,June,evening,Saturday,1
SpiceJet,21/03/2019,Chennai,Kolkata,MAA ? CCU,No check-in baggage included,3332,135,March,late morning,Thursday,0
Jet Airways,09/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,890,September,night,Friday,1
Jet Airways,24/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,7229,160,March,night,Sunday,0
Jet Airways,06/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,13941,1330,June,early morning,Wednesday,1
IndiGo,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,5894,575,June,late morning,Thursday,1
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,10197,600,May,late morning,Saturday,1
Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,13712,1280,June,afternoon,Monday,1
IndiGo,24/06/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,5636,325,June,midnight,Monday,1
Jet Airways,06/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,No Info,13014,1125,June,late morning,Thursday,2
Jet Airways,01/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,7064,740,January,late morning,Friday,1
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,In-flight meal not included,10703,1080,May,night,Friday,1
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,9646,555,May,noon,Monday,1
Multiple carriers,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,17057,665,June,midnight,Monday,1
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,13817,1050,December,evening,Tuesday,1
Air India,06/03/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,No Info,13748,800,June,early morning,Monday,2
Air India,21/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,4880,155,April,night,Sunday,0
IndiGo,21/06/2019,Chennai,Kolkata,MAA ? CCU,No Info,3540,145,June,early morning,Friday,0
SpiceJet,15/05/2019,Banglore,Delhi,BLR ? DEL,No check-in baggage included,3257,160,May,early morning,Wednesday,0
Jet Airways,03/06/2019,Banglore,Delhi,BLR ? DEL,In-flight meal not included,6478,180,March,night,Wednesday,0
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,8040,85,June,early morning,Tuesday,0
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,No Info,14300,995,December,night,Friday,2
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14781,740,May,late morning,Wednesday,1
Jet Airways,09/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14939,735,September,night,Friday,1
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,450,June,night,Monday,1
Air India,12/05/2019,Kolkata,Banglore,CCU ? MAA ? BLR,No Info,6528,1440,December,afternoon,Thursday,1
Air India,01/05/2019,Banglore,Delhi,BLR ? DEL,No Info,6121,165,January,early morning,Saturday,0
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,In-flight meal not included,13029,535,May,night,Saturday,2
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,11421,430,March,late morning,Wednesday,1
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7574,870,March,early morning,Wednesday,1
Air India,09/05/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,No Info,11596,1820,September,noon,Thursday,2
Jet Airways,24/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,15129,1195,May,night,Friday,2
Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,No Info,13555,900,March,afternoon,Monday,1
IndiGo,12/04/2019,Banglore,Delhi,BLR ? DEL,No Info,5780,175,December,evening,Wednesday,0
Vistara,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,9397,765,December,night,Thursday,1
Jet Airways,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,17024,610,June,evening,Monday,1
GoAir,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,5281,355,June,early morning,Thursday,1
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,10348,925,May,early morning,Saturday,1
Air India,06/03/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,12677,965,June,evening,Monday,1
Multiple carriers,03/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,15147,610,March,afternoon,Sunday,1
Vistara,12/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4668,160,December,early morning,Friday,0
Jet Airways,09/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,15554,715,September,early morning,Thursday,1
SpiceJet,09/04/2019,Banglore,Delhi,BLR ? DEL,No Info,3971,160,September,early morning,Wednesday,0
Air India,03/05/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,3100,85,March,afternoon,Tuesday,0
Jet Airways,06/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,9663,845,June,night,Wednesday,1
Air India,01/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,27430,1215,January,night,Thursday,1
IndiGo,12/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,3540,145,December,early morning,Thursday,0
Air India,21/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,No Info,10676,1390,May,noon,Tuesday,2
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,13044,1090,December,afternoon,Friday,1
Jet Airways,06/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14388,960,June,night,Wednesday,1
IndiGo,24/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,170,June,early morning,Monday,0
IndiGo,03/06/2019,Chennai,Kolkata,MAA ? CCU,No Info,3597,140,March,afternoon,Wednesday,0
Air India,21/03/2019,Banglore,New Delhi,BLR ? MAA ? DEL,No Info,5932,480,March,late morning,Thursday,1
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,1015,June,late morning,Saturday,1
Vistara,12/05/2019,Delhi,Cochin,DEL ? COK,No Info,6216,190,December,afternoon,Thursday,0
IndiGo,15/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,4804,165,June,night,Saturday,0
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14067,840,May,late morning,Tuesday,1
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,15129,1430,May,night,Saturday,2
Jet Airways,06/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,No Info,13376,1300,June,early morning,Thursday,2
Air India,27/06/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,No Info,10441,1275,June,night,Thursday,2
Jet Airways,24/05/2019,Banglore,Delhi,BLR ? DEL,In-flight meal not included,4030,165,May,early morning,Friday,0
Jet Airways,03/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,17024,650,March,late morning,Sunday,1
Multiple carriers,09/04/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,13017,480,September,evening,Wednesday,1
GoAir,06/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,6686,495,June,night,Thursday,1
IndiGo,15/06/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,5636,325,June,midnight,Saturday,1
IndiGo,09/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,6442,515,September,early morning,Friday,1
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,9486,710,May,noon,Tuesday,1
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,1655,May,night,Tuesday,1
Jet Airways,03/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,In-flight meal not included,15318,505,March,night,Wednesday,2
Air India,03/04/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,5117,1255,March,noon,Monday,1
IndiGo,24/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,6147,290,June,afternoon,Monday,1
Multiple carriers,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7005,490,September,noon,Friday,1
SpiceJet,03/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,3873,140,March,night,Monday,0
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,In-flight meal not included,9270,1465,March,evening,Thursday,2
GoAir,27/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3898,170,June,late morning,Thursday,0
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14781,740,December,late morning,Thursday,1
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,8586,735,May,night,Friday,1
Air India,09/05/2019,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,No Info,10697,1415,September,late morning,Thursday,2
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,No Info,14300,995,June,night,Thursday,2
IndiGo,03/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,8855,170,March,evening,Sunday,0
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,1545,December,evening,Thursday,1
Jet Airways,06/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,17024,1570,June,midnight,Monday,1
Jet Airways,01/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,In-flight meal not included,9314,1730,January,late morning,Saturday,1
IndiGo,24/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,4777,165,March,midnight,Sunday,0
Air India,09/06/2019,Kolkata,Banglore,CCU ? BBI ? BLR,No Info,7662,1515,September,noon,Friday,1
IndiGo,09/05/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,6442,560,September,early morning,Thursday,1
SpiceJet,12/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,No Info,5264,270,December,late morning,Friday,1
Jet Airways,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,12898,925,May,noon,Monday,1
Air India,03/03/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,6092,90,March,noon,Sunday,0
SpiceJet,21/05/2019,Banglore,Delhi,BLR ? DEL,No Info,3311,160,May,early morning,Tuesday,0
Jet Airways,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,6540,550,March,night,Wednesday,1
IndiGo,27/05/2019,Banglore,Delhi,BLR ? DEL,No Info,3419,165,May,midnight,Monday,0
Jet Airways,03/04/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,5177,1355,March,afternoon,Monday,1
Air India,18/04/2019,Delhi,Cochin,DEL ? COK,No Info,8246,185,April,evening,Thursday,0
Jet Airways,09/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,14676,690,September,late morning,Friday,1
Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,13587,570,June,late morning,Thursday,1
Jet Airways,06/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,9663,730,June,night,Wednesday,1
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,13044,1055,December,evening,Friday,1
IndiGo,03/04/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,5073,305,March,night,Monday,1
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,9345,1550,May,evening,Tuesday,1
Jet Airways,06/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,9663,1200,June,afternoon,Wednesday,1
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14277,780,May,late morning,Tuesday,1
Jet Airways,01/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,1105,January,late morning,Sunday,1
Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM ? HYD,No Info,5678,90,March,night,Wednesday,0
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,13727,570,May,evening,Wednesday,1
Jet Airways,06/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,9663,960,June,night,Wednesday,1
IndiGo,12/05/2019,Chennai,Kolkata,MAA ? CCU,No Info,3858,140,December,afternoon,Thursday,0
SpiceJet,24/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,No Info,4812,270,June,late morning,Monday,1
IndiGo,27/06/2019,Delhi,Cochin,DEL ? LKO ? COK,No Info,5775,345,June,night,Thursday,1
Jet Airways,06/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,In-flight meal not included,10539,1450,June,late morning,Thursday,1
IndiGo,03/06/2019,Kolkata,Banglore,CCU ? BLR,No Info,4804,155,March,afternoon,Wednesday,0
Air Asia,12/06/2019,Banglore,Delhi,BLR ? DEL,No Info,3383,165,December,late morning,Friday,0
IndiGo,03/03/2019,Banglore,New Delhi,BLR ? HYD ? DEL,No Info,8738,295,March,noon,Sunday,1
Air India,27/03/2019,Delhi,Cochin,DEL ? TRV ? COK,No Info,7165,1535,March,early morning,Wednesday,1
IndiGo,24/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,6412,380,June,evening,Monday,1
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,No Info,8016,185,June,evening,Thursday,0
Jet Airways,12/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,In-flight meal not included,11087,1120,December,night,Tuesday,1
SpiceJet,27/06/2019,Chennai,Kolkata,MAA ? CCU,No check-in baggage included,3543,135,June,late morning,Thursday,0
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,12471,730,December,evening,Friday,1
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,10262,1165,June,late morning,Monday,1
Air India,18/03/2019,Banglore,New Delhi,BLR ? DEL,No Info,4441,170,March,noon,Monday,0
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,12537,505,March,early morning,Wednesday,1
GoAir,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,10091,555,March,night,Sunday,1
Air India,03/06/2019,Banglore,Delhi,BLR ? DEL,No Info,6961,170,March,night,Wednesday,0
IndiGo,24/04/2019,Delhi,Cochin,DEL ? COK,No Info,5013,195,April,early morning,Wednesday,0
Air India,18/05/2019,Delhi,Cochin,DEL ? COK,No Info,6934,170,May,early morning,Saturday,0
Multiple carriers,03/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,10877,740,March,early morning,Wednesday,1
Jet Airways,18/04/2019,Banglore,Delhi,BLR ? DEL,No Info,7229,175,April,afternoon,Thursday,0
IndiGo,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7048,575,March,evening,Wednesday,1
Vistara,27/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4878,155,June,evening,Thursday,0
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,In-flight meal not included,10844,570,May,afternoon,Tuesday,1
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,No Info,15129,1760,May,night,Saturday,2
IndiGo,12/05/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,175,December,midnight,Thursday,0
SpiceJet,06/06/2019,Delhi,Cochin,DEL ? MAA ? COK,No Info,5583,315,June,early morning,Thursday,1
Multiple carriers,06/06/2019,Delhi,Cochin,DEL ? HYD ? COK,No Info,9646,545,June,early morning,Thursday,1
Multiple carriers,03/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,7677,645,March,late morning,Wednesday,1
IndiGo,01/06/2019,Delhi,Cochin,DEL ? BLR ? COK,No Info,6842,295,January,early morning,Sunday,1
Jet Airways,24/06/2019,Mumbai,Hyderabad,BOM ? HYD,In-flight meal not included,4995,90,June,late morning,Monday,0
Vistara,09/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,No Info,9555,700,September,early morning,Friday,1
IndiGo,01/06/2019,Banglore,Delhi,BLR ? DEL,No Info,4077,165,January,midnight,Sunday,0
Jet Airways,12/05/2019,Banglore,Delhi,BLR ? DEL,No Info,7229,175,December,afternoon,Thursday,0
Multiple carriers,09/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,12192,600,September,late morning,Friday,1
Air India,12/04/2019,Banglore,Delhi,BLR ? DEL,No Info,5911,165,December,late morning,Wednesday,0
Air India,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,8372,615,December,late morning,Friday,1
Jet Airways,18/03/2019,Mumbai,Hyderabad,BOM ? HYD,In-flight meal not included,4995,85,March,early morning,Monday,0
Multiple carriers,09/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,14323,555,September,late morning,Thursday,1
Jet Airways,09/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,No Info,13014,1375,September,early morning,Friday,2
Air India,06/06/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,No Info,13591,1730,June,afternoon,Thursday,2
Jet Airways,03/03/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,No Info,18799,2245,March,early morning,Sunday,2
IndiGo,27/04/2019,Banglore,Delhi,BLR ? DEL,No Info,3943,170,April,night,Saturday,0
SpiceJet,21/05/2019,Mumbai,Hyderabad,BOM ? HYD,No check-in baggage included,1965,90,May,early morning,Tuesday,0
Jet Airways,27/05/2019,Mumbai,Hyderabad,BOM ? HYD,In-flight meal not included,4995,90,May,late morning,Monday,0
Air India,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,No Info,14641,1540,March,evening,Sunday,1
Air India,12/04/2019,Kolkata,Banglore,CCU ? BLR,No Info,4460,155,December,night,Wednesday,0
Air India,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,No Info,10191,375,May,noon,Saturday,1
Jet Airways,09/03/2019,Delhi,Cochin,DEL ? BOM ? COK,In-flight meal not included,13843,1050,September,midnight,Tuesday,1
